ID,Grade,card_name,card_number,card_set,left,right,Sides_total,top,bottom,top_bot_total,side_split_percent,tb_split_percent,clean cut,white tick,white fuzz,bend,fray,clean_edges,minor_whitening,majority_white_edge,chipped,frayed,wax is mint,minor defect,very light scratch,light scratch,noticible,dent,crease,crease_across_card
G9,10,Machamp,33,Time Gazer,2.57,2.45,5.02,2.32,2.84,5.16,0.5119521912,0.5503875969,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
G8,10,Blastoise EX,200,Scarlet and Violet,2.35,2,4.35,2.28,2.28,4.56,0.5402298851,0.5,3,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
G7,10,Counter Catcher,94,Future Flash,2.05,2.05,4.1,2.05,1.33,3.38,0.5,0.3934911243,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
G6,10,Ferrothorn,72,Raging Surf Japanese,2.05,2.05,4.1,2.05,2.05,4.1,0.5,0.5,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
G5,10,Glaceon,69,YU NAGABA,2.3,2.19,4.49,2.18,2.18,4.36,0.5122494432,0.5,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
G4,4,Umbreon,13,Neo Discovery,2.9,2.66,5.56,2.92,3.75,6.67,0.5215827338,0.5622188906,1,1,1,0,1,0,1,2,1,0,0,0,0,0,1,1,1,0
G3,9,Gengar,27,Diamond and Pearl,2.16,2.57,4.73,2.24,2.66,4.9,0.4566596195,0.5428571429,2,2,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0
G2,8,Gengar,35,Generations,2.69,1.82,4.51,1.84,2.9,4.74,0.5964523282,0.611814346,2,1,1,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0
G17,3,Entei,6,Neo Revelation,2.5,2.8,5.3,3.37,2.77,6.14,0.4716981132,0.4511400651,0,0,1,0,2,0,0,3,1,0,0,0,0,0,0,0,1,0
G16,5,Blastoise ,2,Base,2.94,2.94,5.88,2.82,3.65,6.47,0.5,0.5641421947,1,0,3,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0
G15,5.5,Houndoom,8,Neo Revelation,2.8,2.7,5.5,3.47,3.14,6.61,0.5090909091,0.4750378215,1,1,1,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
G14,7,Stonjourner VMAX,205,SWSH Base,1.88,2.82,4.7,2.55,2.15,4.7,0.4,0.4574468085,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
G13,8,Mewtwo,52,SV Promo,2.21,2.38,4.59,2.09,2.09,4.18,0.4814814815,0.5,2,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0
G12,9,Exeggcute,52,Jungle,2.71,2.88,5.59,2.69,3.75,6.44,0.4847942755,0.5822981366,2,2,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
G11,9,Snorlax,51,SV Promo,2.24,2.04,4.28,2.46,1.94,4.4,0.523364486,0.4409090909,2,2,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
G10,9.5,Claydol,15,Great Encounters,2.1,2.15,4.25,2.31,2.31,4.62,0.4941176471,0.5,2,2,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
G1,7,Gengar,94,Gym Challenge Japanese,1.74,2.06,3.8,2.17,1.88,4.05,0.4578947368,0.4641975309,2,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0
p1,10,Glaceon,129,shining pearl,3.03,3.03,6.06,2.77,2.77,5.54,0.5,0.5,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
p2,10,squirtle,7,jap 151,2.91,2.51,5.42,2.51,2.51,5.02,0.536900369,0.5,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
p3,10,galarian zapdos v,182,brilliant stars,3.41,3.41,6.82,3.41,2.86,6.27,0.5,0.4561403509,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
G18,10,charizard vstar,14,jap vstar universe,2.52,2.52,5.04,2.49,2.49,4.98,0.5,0.5,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0
G19,10, mew vmax,tg30,lost origin,2.66,2.75,5.41,2.66,3.08,5.74,0.4916820702,0.5365853659,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
G20,9.5,gardevoir,245,svi,2.71,2.71,5.42,3.05,3.05,6.1,0.5,0.5,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
G21,9.5,gengar,2,vmax deck,2.47,2.47,4.94,2.55,2.55,5.1,0.5,0.5,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
G22,9.5,metal mew,205,151,2.3,2.87,5.17,2.45,2.47,4.92,0.4448742747,0.5020325203,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
G23,9,charizard vmax,swsh261,swsh promos,2.58,2.58,5.16,3.35,2.96,6.31,0.5,0.4690966719,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
G24,9,moltres&apdos&articuno,sm210,sm promos,2.15,3.14,5.29,2.67,2.68,5.35,0.4064272212,0.5009345794,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G25,9,aegislash ex ,135,par,2.66,2.66,5.32,3.5,3.06,6.56,0.5,0.4664634146,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
